"ds","Residuals"
1961-01-01,0.0263154699515436
1962-01-01,-0.0777953972061974
1963-01-01,-0.382886908009431
1964-01-01,-0.0763481381760345
1965-01-01,-0.0311823521640939
1966-01-01,-0.0496129143244419
1967-01-01,-0.0728259233304446
1968-01-01,0.0208138474422139
1969-01-01,-0.324026398853551
1970-01-01,-0.12640578549975
1971-01-01,-0.207757841592043
1972-01-01,-0.0898410966086507
1973-01-01,0.189355094157661
1974-01-01,0.174304627629254
1975-01-01,0.108551281325313
1976-01-01,-0.0811995505930107
1977-01-01,-0.143761185223647
1978-01-01,0.206811520813356
1979-01-01,-0.032870300151318
1980-01-01,-0.214144479598231
1981-01-01,-0.106903217589759
1982-01-01,0.0249137816904266
1983-01-01,-0.159297008395158
1984-01-01,0.230411248884184
1985-01-01,-0.0279585319804764
1986-01-01,-0.129061777852556
1987-01-01,0.0177254262159219
1988-01-01,-0.20200806305668
1989-01-01,0.0330195634456954
1990-01-01,-0.0544061453671335
1991-01-01,0.00850732179182597
1992-01-01,-0.122718035061425
1993-01-01,-0.0348506430068723
1994-01-01,-0.0559146342955799
1995-01-01,-0.14267988867768
1996-01-01,-0.16038093398144
1997-01-01,0.103589216985701
1998-01-01,0.0179297061682108
1999-01-01,0.0706811440289507
2000-01-01,0.0163587950268198
2001-01-01,-0.1536087214265
2002-01-01,-0.00769492550007108
2003-01-01,-0.0838489368998486
2004-01-01,0.0457197186628299
2005-01-01,-0.0394747911069427
2006-01-01,-0.0555370836155226
2007-01-01,-0.0769923039505363
2008-01-01,0.0665994515017049
2009-01-01,0.168626741044108
2010-01-01,-0.0857019844866688
2011-01-01,0.0325931733817148
2012-01-01,0.0289892109858251
2013-01-01,0.0525730718472331
2014-01-01,0.0461166319844558
2015-01-01,0.0105153244828486
2016-01-01,-0.0182226888286863
2017-01-01,-0.108894901716765
2018-01-01,-0.0537818150881452
2019-01-01,-0.0112054160515536
2020-01-01,-0.144894390860259
2021-01-01,-0.00171506420317477
