"ds","Actual","Prophet_Fitted","ETS_Fitted","LM_Fitted","ARIMA_Auto_Fitted"
1961-01-01,58.84319536,58.9897525389388,58.9395351536489,60.0754581051641,58.8168798900485
1962-01-01,59.35779415,59.16421034328,59.0525214574169,60.0873810033301,59.4355895472062
1963-01-01,59.24747493,59.3090203720956,59.4149592132205,60.099303901496,59.6303618380094
1964-01-01,59.43515214,59.4319844992267,59.4586749251974,60.1112267996619,59.511500278176
1965-01-01,59.59154982,59.5786668730663,59.5777315242816,60.1231823633022,59.6227321721641
1966-01-01,59.71027751,59.7133341370708,59.7086172255334,60.1351052614681,59.7598904243244
1967-01-01,59.80344344,59.8183536255501,59.820889568314,60.147028159634,59.8762693633304
1968-01-01,59.99078431,59.8236230697777,59.9103115027061,60.1589510578,59.9699704625578
1969-01-01,59.79839835,59.8522883095402,60.0555630398895,60.1709066214403,60.1224247488535
1970-01-01,59.88584652,59.9085647116581,59.9692370253008,60.1828295196062,60.0122523054998
1971-01-01,59.80680683,59.9357625908068,59.9807784305294,60.1947524177721,60.014564671592
1972-01-01,59.85019457,59.941601298195,59.9217970466269,60.206675315938,59.9400356666087
1973-01-01,60.12094753,60.0788967760797,59.9188757802957,60.2186308795783,59.9315924358423
1974-01-01,60.29954359,60.2435066017956,60.0925776237555,60.2305537777442,60.1252389623707
1975-01-01,60.43811529,60.341777562628,60.2747500900923,60.2424766759102,60.3295640086747
1976-01-01,60.42298003,60.4186893516966,60.4325655508353,60.2543995740761,60.504179580593
1977-01-01,60.40347236,60.508592670011,60.476851023198,60.2663551377164,60.5472335452236
1978-01-01,60.74014779,60.6259398229321,60.473283008672,60.2782780358823,60.5333362691866
1979-01-01,60.73611172,60.6712120422271,60.6909163026415,60.2902009340482,60.7689820201513
1980-01-01,60.63251928,60.6951250897598,60.7676047298045,60.3021238322141,60.8466637595982
1981-01-01,60.67590702,60.7424850292521,60.7209525376855,60.3140793958544,60.7828102375898
1982-01-01,60.80035248,60.8174050420845,60.7249937529648,60.3260022940204,60.7754386983096
1983-01-01,60.69642371,60.8627634474685,60.8048532855755,60.3379251921863,60.8557207183952
1984-01-01,61.0293994,60.8867626811161,60.7618565248979,60.3498480903522,60.7989881511158
1985-01-01,60.99172942,60.934208125828,60.9639993332899,60.3618036539925,61.0196879519805
1986-01-01,60.94195124,60.9786985753424,61.0144898159288,60.3737265521584,61.0710130178526
1987-01-01,61.06000626,60.9935412493254,60.9959380592581,60.3856494503243,61.0422808337841
1988-01-01,60.90798099,60.9864450412144,61.063285472791,60.3975723484902,61.1099890530567
1989-01-01,61.04588001,61.0027107501325,60.9838455257062,60.4095279121306,61.0128604465543
1990-01-01,61.01628218,61.0325068261788,61.0414648838961,60.4214508102965,61.0706883253671
1991-01-01,61.07446884,61.032655126703,61.0417163401854,60.4333737084624,61.0659615182082
1992-01-01,60.97995755,60.9819871383224,61.0782394337806,60.4452966066283,61.1026755850614
1993-01-01,61.00585566,60.9545616922349,61.0268486851237,60.4572521702686,61.0407063030069
1994-01-01,60.97524881,60.9549006507336,61.0218347696817,60.4691750684345,61.0311634442956
1995-01-01,60.85887548,60.9255918337011,60.9979127022639,60.4810979666004,61.0015553686777
1996-01-01,60.73913877,60.8751370330935,60.9092474577919,60.4930208647663,60.8995197039814
1997-01-01,60.87098369,60.8479253589125,60.7933490309517,60.5049764284067,60.7673944730143
1998-01-01,60.83499541,60.8484775049738,60.8367021879898,60.5168993265726,60.8170657038318
1999-01-01,60.88443725,60.8193818755177,60.8308889069456,60.5288222247385,60.813756105971
2000-01-01,60.86896566,60.7684890040308,60.8625322024887,60.5407451229044,60.8526068649732
2001-01-01,60.70483218,60.7318655014703,60.8652159117296,60.5527006865447,60.8584409014265
2002-01-01,60.72938494,60.7230315352364,60.7562992450611,60.5646235847106,60.7370798655001
2003-01-01,60.62478348,60.684549789243,60.7302696245514,60.5765464828765,60.7086324168998
2004-01-01,60.66716221,60.6247088715147,60.6510483948543,60.5884693810424,60.6214424913372
2005-01-01,60.58341377,60.5880853768511,60.6497399319609,60.6004249446828,60.6228885611069
2006-01-01,60.50941918,60.5792514185538,60.5948596041862,60.6123478428487,60.5649562636155
2007-01-01,60.4132262,60.5496934500147,60.5252480941455,60.6242707410146,60.4902185039505
2008-01-01,60.45930465,60.4987763097543,60.4352462590049,60.6361936391805,60.3927051984983
2009-01-01,60.56390611,60.4709297735037,60.4331822265156,60.6481492028208,60.3952793689559
2010-01-01,60.39741826,60.4708487927386,60.5054298897517,60.6600721009867,60.4831202444867
2011-01-01,60.43004315,60.4411200364761,60.4243538850057,60.6719949991526,60.3974499766183
2012-01-01,60.42062566,60.390032108404,60.4157926487748,60.6839178973186,60.3916364490142
2013-01-01,60.43946065,60.3621855721561,60.4080234893947,60.6958734609589,60.3868875781528
2014-01-01,60.44955082,60.3621045913546,60.4193263820978,60.7077963591248,60.4034341880155
2015-01-01,60.43172485,60.3323758350845,60.4320484758787,60.7197192572907,60.4212095255172
2016-01-01,60.39909996,60.2812879070563,60.4262354425571,60.7316421554566,60.4173226488287
2017-01-01,60.2839388,60.2534413707645,60.40291141211,60.7435977190969,60.3928337017168
2018-01-01,60.24356466,60.2533603899994,60.3172191040384,60.7555206172628,60.2973464750881
2019-01-01,60.21981337,60.2236316336514,60.2574026123027,60.7674435154288,60.2310187860515
2020-01-01,60.04586286,60.1725437056945,60.219598204163,60.7793664135947,60.1907572508603
2021-01-01,60.04592643,60.1446971693662,60.0899010077556,60.791321977235,60.0476414942032
