"ds","Residuals"
1961-01-01,-1.23226274516408
1962-01-01,-0.729586853330088
1963-01-01,-0.85182897149599
1964-01-01,-0.6760746596619
1965-01-01,-0.531632543302236
1966-01-01,-0.424827751468142
1967-01-01,-0.343584719634044
1968-01-01,-0.168166747799951
1969-01-01,-0.372508271440288
1970-01-01,-0.296982999606193
1971-01-01,-0.387945587772101
1972-01-01,-0.356480745938008
1973-01-01,-0.0976833495783391
1974-01-01,0.0689898122557508
1975-01-01,0.195638614089844
1976-01-01,0.168580455923936
1977-01-01,0.137117222283607
1978-01-01,0.461869754117699
1979-01-01,0.445910785951788
1980-01-01,0.330395447785881
1981-01-01,0.361827624145547
1982-01-01,0.474350185979644
1983-01-01,0.358498517813734
1984-01-01,0.679551309647833
1985-01-01,0.629925766007495
1986-01-01,0.568224687841591
1987-01-01,0.674356809675684
1988-01-01,0.510408641509774
1989-01-01,0.63635209786944
1990-01-01,0.594831369703533
1991-01-01,0.64109513153763
1992-01-01,0.534660943371723
1993-01-01,0.54860348973139
1994-01-01,0.506073741565478
1995-01-01,0.377777513399576
1996-01-01,0.246117905233664
1997-01-01,0.366007261593336
1998-01-01,0.318096083427424
1999-01-01,0.355615025261518
2000-01-01,0.328220537095614
2001-01-01,0.152131493455276
2002-01-01,0.164761355289375
2003-01-01,0.0482369971234638
2004-01-01,0.0786928289575599
2005-01-01,-0.0170111746827748
2006-01-01,-0.10292866284868
2007-01-01,-0.211044541014591
2008-01-01,-0.176888989180495
2009-01-01,-0.0842430928208311
2010-01-01,-0.262653840986734
2011-01-01,-0.241951849152639
2012-01-01,-0.26329223731855
2013-01-01,-0.256412810958882
2014-01-01,-0.258245539124791
2015-01-01,-0.287994407290695
2016-01-01,-0.332542195456602
2017-01-01,-0.459658919096936
2018-01-01,-0.511955957262847
2019-01-01,-0.547630145428754
2020-01-01,-0.733503553594658
2021-01-01,-0.74539554723499
