"ds","Residuals"
1961-01-01,-0.146557178938806
1962-01-01,0.193583806720035
1963-01-01,-0.0615454420956141
1964-01-01,0.00316764077325615
1965-01-01,0.0128829469336864
1966-01-01,-0.00305662707076237
1967-01-01,-0.0149101855501073
1968-01-01,0.167161240222292
1969-01-01,-0.0538899595402071
1970-01-01,-0.022718191658079
1971-01-01,-0.128955760806839
1972-01-01,-0.0914067281949826
1973-01-01,0.0420507539202717
1974-01-01,0.0560369882044327
1975-01-01,0.0963377273720383
1976-01-01,0.00429067830337004
1977-01-01,-0.105120310010967
1978-01-01,0.11420796706787
1979-01-01,0.0648996777728854
1980-01-01,-0.0626058097598445
1981-01-01,-0.066578009252062
1982-01-01,-0.0170525620845012
1983-01-01,-0.166339737468498
1984-01-01,0.142636718883892
1985-01-01,0.0575212941719627
1986-01-01,-0.0367473353423549
1987-01-01,0.0664650106745626
1988-01-01,-0.0784640512144321
1989-01-01,0.0431692598674971
1990-01-01,-0.0162246461788129
1991-01-01,0.0418137132970244
1992-01-01,-0.00202958832238664
1993-01-01,0.0512939677651261
1994-01-01,0.020348159266355
1995-01-01,-0.066716353701139
1996-01-01,-0.135998263093455
1997-01-01,0.0230583310874621
1998-01-01,-0.0134820949737886
1999-01-01,0.065055374482327
2000-01-01,0.100476655969224
2001-01-01,-0.0270333214702703
2002-01-01,0.0063534047635585
2003-01-01,-0.0597663092429741
2004-01-01,0.0424533384853163
2005-01-01,-0.0046716068511401
2006-01-01,-0.0698322385538432
2007-01-01,-0.136467250014675
2008-01-01,-0.0394716597542981
2009-01-01,0.0929763364962994
2010-01-01,-0.0734305327386053
2011-01-01,-0.0110768864761255
2012-01-01,0.0305935515960059
2013-01-01,0.0772750778438578
2014-01-01,0.087446228645419
2015-01-01,0.0993490149154894
2016-01-01,0.117812052943655
2017-01-01,0.0304974292355098
2018-01-01,-0.00979572999938938
2019-01-01,-0.00381826365135396
2020-01-01,-0.126680845694466
2021-01-01,-0.098770739366195
