"Model","MAE","MAPE","RMSE","R_Squared","AIC","BIC"
"Prophet",0.0639742387992075,0.105984752389099,0.0798919493651031,NA,NA,NA
"ETS",0.0873446954349951,0.144714693487705,0.11462155069779,NA,-1.50326607728074,11.1619771077591
"Linear Regression",0.392226865890028,0.64992644311704,0.454079051997532,0.176290958809776,82.7934563747479,89.1260779672678
"ARIMA(Auto)",0.0926136318652139,0.153444754079696,0.121277849902007,NA,-71.9073476827373,-65.6747353510202
