"ds","Residuals"
1961-01-01,-0.0963397936489372
1962-01-01,0.305272692583074
1963-01-01,-0.16748428322051
1964-01-01,-0.0235227851973718
1965-01-01,0.0138182957184085
1966-01-01,0.00166028446656696
1967-01-01,-0.0174461283140133
1968-01-01,0.0804728072939014
1969-01-01,-0.257164689889464
1970-01-01,-0.0833905053008479
1971-01-01,-0.173971600529441
1972-01-01,-0.0716024766269356
1973-01-01,0.202071749704288
1974-01-01,0.206965966244525
1975-01-01,0.163365199907702
1976-01-01,-0.00958552083532993
1977-01-01,-0.0733786631979925
1978-01-01,0.266864781327968
1979-01-01,0.0451954173584781
1980-01-01,-0.1350854498045
1981-01-01,-0.0450455176855371
1982-01-01,0.0753587270351588
1983-01-01,-0.108429575575528
1984-01-01,0.267542875102144
1985-01-01,0.0277300867101218
1986-01-01,-0.0725385759288386
1987-01-01,0.0640682007418576
1988-01-01,-0.15530448279101
1989-01-01,0.0620344842937826
1990-01-01,-0.0251827038961423
1991-01-01,0.0327524998145918
1992-01-01,-0.0982818837806079
1993-01-01,-0.0209930251236585
1994-01-01,-0.0465859596817424
1995-01-01,-0.139037222263902
1996-01-01,-0.170108687791881
1997-01-01,0.0776346590482646
1998-01-01,-0.00170677798978858
1999-01-01,0.0535483430544446
2000-01-01,0.00643345751131363
2001-01-01,-0.160383731729574
2002-01-01,-0.0269143050610836
2003-01-01,-0.105486144551392
2004-01-01,0.0161138151456797
2005-01-01,-0.0663261619609372
2006-01-01,-0.0854404241862312
2007-01-01,-0.112021894145506
2008-01-01,0.0240583909951155
2009-01-01,0.130723883484386
2010-01-01,-0.108011629751651
2011-01-01,0.00568926499434497
2012-01-01,0.00483301122520885
2013-01-01,0.0314371606052717
2014-01-01,0.030224437902227
2015-01-01,-0.000323625878699829
2016-01-01,-0.0271354825570995
2017-01-01,-0.118972612109985
2018-01-01,-0.0736544440384321
2019-01-01,-0.0375892423026798
2020-01-01,-0.173735344162999
2021-01-01,-0.0439745777556269
