"ds","Prophet_Forecast","Prophet_Lower95","Prophet_Upper95","ETS_Forecast","ETS_Lower95","ETS_Upper95","LM_Forecast","LM_Lower95","LM_Upper95","ARIMA_Auto_Forecast","ARIMA_Auto_Lower95","ARIMA_Auto_Upper95"
2022-01-01,60.144616188625,60.0393123100578,60.2446890796708,60.0411023825686,59.8066334670624,60.2755712980749,60.7913221152315,59.8383386388245,61.7443055916385,59.9963788517712,59.7504796779587,60.2422780255837
2023-01-01,60.1148874323492,60.0146759311025,60.2150730066217,60.0217045282636,59.7392730004299,60.3041360560973,60.791322253228,59.8383387603856,61.7443057460705,59.9462188623893,59.6374261756091,60.2550115491695
2024-01-01,60.0637995042575,59.9609981077998,60.1749035388787,60.0040675806867,59.6757162323872,60.3324189289863,60.7913223912245,59.8383388819466,61.7443059005024,59.8960588730074,59.5195247866067,60.2725929594081
2025-01-01,60.035952968064,59.9014696212027,60.1627428819381,59.9880316874927,59.6152106656147,60.3608527093707,60.791322529221,59.8383390035076,61.7443060549344,59.8458988836255,59.3971371681127,60.2946605991383
2026-01-01,60.0358719872423,59.8842299051683,60.1750251142218,59.9734515074809,59.5573147227045,60.3895882922573,60.7913226672175,59.8383391250687,61.7443062093664,59.7957388942436,59.2705474150054,60.3209303734818
2027-01-01,60.0061432309099,59.834765418538,60.1894214121328,59.9601948932964,59.5017356675771,60.4186541190157,60.791322805214,59.8383392466297,61.7443063637984,59.7455789048617,59.1399877514627,60.3511700582607
2028-01-01,59.9550553029352,59.7297253272806,60.1626802614511,59.9481416937134,59.4482605295147,60.4480228579121,60.7913229432106,59.8383393681907,61.7443065182304,59.6954189154798,59.0056534248003,60.3851844061594
2029-01-01,59.927208766627,59.6767574437267,60.1726495234266,59.9371826646459,59.3967229165741,60.4776424127177,60.7913230812071,59.8383394897517,61.7443066726624,59.6452589260979,58.8677120527671,60.4228057994287
2030-01-01,59.927127785899,59.6306622034443,60.210961628854,59.9272184790139,59.346985666237,60.5074512917907,60.7913232192036,59.8383396113127,61.7443068270944,59.595098936716,58.7263098607327,60.4638880126993
2031-01-01,59.8973990295712,59.5576380717443,60.2248527237595,59.9181588264939,59.2989311785733,60.5373864744144,60.7913233572001,59.8383397328737,61.7443069815264,59.5449389473341,58.5815760477544,60.5083018469138
2032-01-01,59.846311101476,59.4477007255766,60.2159084089609,59.9099215949915,59.2524557472042,60.5673874427788,60.7913234951966,59.8383398544347,61.7443071359585,59.4947789579522,58.4336259611449,60.5559319547595
2033-01-01,59.8184645652287,59.3684025730836,60.2435045446466,59.9024321264193,59.2074660860109,60.5973981668277,60.7913236331931,59.8383399759957,61.7443072903905,59.4446189685703,58.2825634764454,60.6066744606952
