"ds","yhat","yhat_lower","yhat_upper","trend"
1990-01-01,52.7534151198531,51.8420798183392,53.6264332578351,12.9772381886734
1991-01-01,52.1624450168265,51.2223490616189,53.0819871163362,12.3794646423105
1992-01-01,51.7852094746458,50.8962400399807,52.7502348648914,11.7816910968035
1993-01-01,51.1651658477711,50.2250817335655,52.0823203360642,11.1822798149386
1994-01-01,50.360683201217,49.4945568564849,51.2731850929523,10.5845062700373
1995-01-01,49.7697130999798,48.8851751847613,50.7664835991463,9.98673272546356
1996-01-01,49.3924775592027,48.4853888041571,50.3142347544861,9.38895918135985
1997-01-01,48.7724339357484,47.844288552732,49.6634942240307,8.78954790291593
1998-01-01,47.9679512902884,47.083472672851,48.8812829506427,8.19177435910903
1999-01-01,47.376981189271,46.4523749690247,48.3099672667409,7.59400081475494
2000-01-01,46.9997441384384,46.0921263529657,47.8829557154308,6.99622576059453
2001-01-01,46.3796782274644,45.5009521744821,47.2879815603269,6.39679219463212
2002-01-01,45.5751625869839,44.6836456854094,46.4960472865907,5.79898565580446
2003-01-01,44.9816861855757,44.0076018229309,45.901210256367,5.19870581105992
2004-01-01,44.6005573568019,43.6973077863637,45.5577187014527,4.59703897895885
2005-01-01,43.3704015368358,42.4689373636281,44.3163795939031,3.38751550400557
2006-01-01,41.9560967891186,41.0362557118557,42.8607462128158,2.17991985793866
2007-01-01,40.7548542909437,39.8397669481055,41.6315600674382,0.971873916428249
2008-01-01,39.7673463531877,38.8127416880604,40.7120419975264,-0.236172024655012
2009-01-01,38.5353583522805,37.6051500878507,39.4300378864391,-1.44752768055327
2010-01-01,37.120618233149,36.2363892501028,38.0884924207979,-2.65555869803071
2011-01-01,35.9196624241912,35.0018062738366,36.8106048671293,-3.86331795032549
2012-01-01,34.9335105734594,33.9844431890729,35.8524876792222,-5.07000780438339
2013-01-01,34.2743173809785,33.3229097676116,35.1699169134512,-5.70856865185648
2014-01-01,33.4316740869373,32.5484350998346,34.375981810814,-6.34450284424153
2015-01-01,33.5166178450817,32.6279792556213,34.4619938197618,-6.2663625294346
2016-01-01,33.8152961632154,32.9531601298253,34.7482619131137,-6.18822221462766
2017-01-01,33.8730182160675,32.9484115950016,34.8237996692378,-6.10986781676647
2018-01-01,33.7444494292203,32.827903117614,34.6241522297121,-6.03172750195953
2019-01-01,33.8293931873625,32.9019219874363,34.7922825778546,-5.9535871871526
2020-01-01,34.1280715054968,33.2118974885042,35.0346906184333,-5.87544687234566
2021-01-01,34.1857935583476,33.3288690380516,35.0571077373568,-5.79709247448447
2022-01-01,34.0572247715021,33.1076532409447,34.9306896638323,-5.71895215967753
2023-01-01,34.1421685296457,33.1874786327881,35.1388260447305,-5.6408118448706
2024-01-01,34.4408468477794,33.4246328375737,35.3680850744038,-5.56267153006366
2025-01-01,34.4985689006338,33.4050810523082,35.5728656430017,-5.48431713220246
2026-01-01,34.3700001137836,33.1455937477021,35.4941719286612,-5.40617681739553
2027-01-01,34.4549438719267,33.03748157431,35.6599009274961,-5.3280365025886
2028-01-01,34.7536221900605,33.245469759628,36.1777284660415,-5.24989618778166
2029-01-01,34.8113442429117,33.004774075825,36.5043515090867,-5.17154178992046
2030-01-01,34.6827754560673,32.5438794386521,36.6280079399258,-5.09340147511353
2031-01-01,34.7677192142096,32.3907797578655,37.0338081580696,-5.0152611603066
2032-01-01,35.066397532343,32.4060178542927,37.5026285798821,-4.93712084549966
2033-01-01,35.1241195851917,32.042780326994,37.9354472236513,-4.85876644763847
