"ds","Residuals"
1990-01-01,0.246584880146898
1991-01-01,-0.162445016826453
1992-01-01,-0.285209474645846
1993-01-01,0.334834152228851
1994-01-01,0.139316798783035
1995-01-01,-0.269713099979782
1996-01-01,-0.292477559202716
1997-01-01,-0.872433935748404
1998-01-01,0.0320487097116029
1999-01-01,-0.276981189270998
2000-01-01,-0.0997441384384032
2001-01-01,0.720321772535648
2002-01-01,0.224837413016125
2003-01-01,0.618313814424305
2004-01-01,0.299442643198091
2005-01-01,0.829598463164203
2006-01-01,1.24390321088139
2007-01-01,0.745145709056267
2008-01-01,-0.367346353187742
2009-01-01,-1.13535835228051
2010-01-01,-0.920618233148957
2011-01-01,-0.919662424191195
2012-01-01,-0.133510573459354
2013-01-01,0.625682619021511
2014-01-01,0.468325913062685
2015-01-01,-0.116617845081699
2016-01-01,-0.815296163215365
2017-01-01,-1.37301821606751
2018-01-01,-0.844449429220283
2019-01-01,-0.329393187362513
2020-01-01,1.97192849450316
2021-01-01,0.714206441652415
