"ds","Prophet_Forecast","Prophet_Lower95","Prophet_Upper95","ETS_Forecast","ETS_Lower95","ETS_Upper95","LM_Forecast","LM_Lower95","LM_Upper95","ARIMA_Auto_Forecast","ARIMA_Auto_Lower95","ARIMA_Auto_Upper95"
2022-01-01,34.0572247715021,33.1076532409447,34.9306896638323,35.4185119766974,33.6601554074794,37.1768685459154,30.859500137153,26.940445932098,34.778554342208,34.1291158341992,32.4425462666748,35.8156854017237
2023-01-01,34.1421685296457,33.1874786327881,35.1388260447305,35.7458216599798,32.9156109475607,38.5760323723989,30.859491750016,26.9404373148555,34.7785461851765,33.4819636454256,30.7313427911146,36.2325844997367
2024-01-01,34.4408468477794,33.4246328375737,35.3680850744038,36.0731313432623,32.0596676859192,40.0865950006053,30.8594833628791,26.9404286976129,34.7785380281452,32.8704885417626,29.2765560993442,36.464420984181
2025-01-01,34.4985689006338,33.4050810523082,35.5728656430017,36.4004410265447,31.0925374644117,41.7083445886777,30.8594749757421,26.9404200803702,34.7785298711141,32.2693006284652,27.9733178998935,36.5652833570369
2026-01-01,34.3700001137836,33.1455937477021,35.4941719286612,36.7277507098272,30.0198023939119,43.4356990257425,30.8594665886052,26.9404114631273,34.7785217140831,31.6710789408359,26.7670401010718,36.5751177806
2027-01-01,34.4549438719267,33.03748157431,35.6599009274961,37.0550603931096,28.8474596154706,45.2626611707487,30.8594582014683,26.9404028458842,34.7785135570523,31.0737125396747,25.6276461555313,36.5197789238181
2028-01-01,34.7536221900605,33.245469759628,36.1777284660415,37.3823700763921,27.5809982939699,47.1837418588143,30.8594498143313,26.940394228641,34.7785054000217,30.4765927532435,24.5373778476599,36.4158076588271
2029-01-01,34.8113442429117,33.004774075825,36.5043515090867,37.7096797596745,26.2252670916492,49.1940924276999,30.8594414271944,26.9403856113976,34.7784972429912,29.8795440761159,23.4849969544224,36.2740911978094
2030-01-01,34.6827754560673,32.5438794386521,36.6280079399258,38.036989442957,24.7845226572659,51.289456228648,30.8594330400575,26.9403769941541,34.7784890859609,29.2825159027637,22.4629430390108,36.1020887665166
2031-01-01,34.7677192142096,32.3907797578655,37.0338081580696,38.3642991262394,23.2625130600047,53.4660851924741,30.8594246529205,26.9403683769104,34.7784809289307,28.6854936415045,21.4658658579795,35.9051214250294
2032-01-01,35.066397532343,32.4060178542927,37.5026285798821,38.6916088095219,21.6625582597421,55.7206593593017,30.8594162657836,26.9403597596665,34.7784727719007,28.0884730849479,20.489821337546,35.6871248323499
2033-01-01,35.1241195851917,32.042780326994,37.9354472236513,39.0189184928043,19.987618866668,58.0502181189407,30.8594078786466,26.9403511424225,34.7784646148708,27.4914530199283,19.5318047500084,35.4511012898482
