"ds","Residuals"
1990-01-01,0.0535969906372854
1991-01-01,-0.385880752767267
1992-01-01,0.213215831441713
1993-01-01,0.569044995543585
1994-01-01,-0.575125840354382
1995-01-01,-0.286784168558441
1996-01-01,0.313215831441561
1997-01-01,-0.659789171636007
1998-01-01,0.870884165800753
1999-01-01,-0.503960007533969
2000-01-01,0.48438166426196
2001-01-01,0.682542494004807
2002-01-01,-0.932794174713571
2003-01-01,0.599718332980345
2004-01-01,-0.217457505995199
2005-01-01,-0.0732866700972181
2006-01-01,-0.373286670097215
2007-01-01,-0.986784168558444
2008-01-01,-1.18494499830128
2009-01-01,-0.969608329582897
2010-01-01,-0.198442496762482
2011-01-01,-0.429115834199258
2012-01-01,0.570884165800749
2013-01-01,0.582542494004812
2014-01-01,-0.603960007533985
2015-01-01,0.213215831441559
2016-01-01,0.169044995543594
2017-01-01,0.040210828363989
2018-01-01,0.969044995543584
2019-01-01,0.909537490927242
2020-01-01,2.85186915656806
2021-01-01,-1.52481418702385
