"ds","Residuals"
1990-01-01,-0.339498806352128
1991-01-01,-0.614850174986453
1992-01-01,-0.390201543620856
1993-01-01,0.336432426460813
1994-01-01,0.0610810578264138
1995-01-01,-0.214270310807987
1996-01-01,0.110378320557613
1997-01-01,-0.362987709360719
1998-01-01,0.461660922004882
1999-01-01,0.286309553370483
2000-01-01,0.81095818473608
2001-01-01,1.73759215481775
2002-01-01,1.16224078618335
2003-01-01,1.68688941754895
2004-01-01,1.71153804891455
2005-01-01,1.73817201899622
2006-01-01,1.46282065036182
2007-01-01,0.487469281727419
2008-01-01,-0.887882086906982
2009-01-01,-2.16124811682531
2010-01-01,-2.63659948545971
2011-01-01,-3.11195085409411
2012-01-01,-2.58730222272851
2013-01-01,-1.76066825264684
2014-01-01,-2.03601962128124
2015-01-01,-1.81137098991564
2016-01-01,-1.48672235855004
2017-01-01,-1.26008838846837
2018-01-01,-0.135439757102774
2019-01-01,1.18920887426283
2020-01-01,4.51385750562843
2021-01-01,4.04049147571009
