"Model","MAE","MAPE","RMSE","R_Squared","AIC","BIC"
"Prophet",0.57589894458481,1.48380906675933,0.721737354955266,NA,NA,NA
"ETS",0.642145236349796,1.63255596481769,0.839194992572907,NA,109.683568804897,117.012248318896
"Linear Regression",1.36231879244423,3.58879216801235,1.75620103576888,0.93562677148336,132.853856443308,137.251064151707
"ARIMA(Auto)",0.624968289000658,1.57422285179009,0.819181580301813,NA,82.6751832335634,86.9771448470188
